proper_star_name	parsecs_from_earth	light_years_from_earth	constellation_full_name	apparent_magnitude
	46.9043	152.981188708	Sculptor	7.66
	74.7384	243.76377590399997	Tucana	8.59
	75.5287	246.341386772	Phoenix	11.55
	76.6284	249.928124304	Pegasus	7.09
	234.192	763.83125952	Phoenix	8.54
	89.7666	292.779151896	Phoenix	9.58
	169.4915	552.80669674	Andromeda	8.44
	100000.0	326156.0	Cassiopeia	8.59
	102.3541	333.834038396	Phoenix	8.01
	145.1379	473.375969124	Pegasus	8.29
	144.3001	470.6434341559999	Tucana	9.62
	176.3668	575.230900208	Pegasus	7.26
	168.9189	550.939127484		7.91
	377.3585	1230.7773892599998	Sculptor	9.45
	100000.0	326156.0	Cassiopeia	8.19
	188.6792	615.388531552	Cetus	12.14
	95.6023	311.812637588	Sculptor	8.93
	240.9639	785.918217684	Cassiopeia	7.65
	146.8429	478.9369289239999	Pegasus	8.53
	130.719	426.34786163999996	Cassiopeia	7.38
	68.4932	223.394681392	Andromeda	8.56
	425.5319	1387.897823764	Pegasus	8.76
	645.1613	2104.2322896279998		9.56
	223.7136	729.655329216	Sculptor	7.09
	111.6071	364.013253076	Cetus	9.83
	100000.0	326156.0	Cassiopeia	5.9
	392.1569	1279.043258764	Sculptor	10.8
	154.7988	504.885574128	Sculptor	8.41
	274.7253	896.033049468	Cetus	9.05
	100000.0	326156.0	Cassiopeia	8.79
	204.0816	665.624383296	Pegasus	8.88
	323.6246	1055.521050376	Cassiopeia	7.59
	78.7402	256.815886712	Sculptor	9.6
	100000.0	326156.0	Cassiopeia	10.66
	259.7403	847.158572868	Tucana	8.55
	77.4593	252.63815450799999	Phoenix	8.11
	100000.0	326156.0	Cetus	9.44
	121.3592	395.820312352	Cetus	9.6
	90.6618	295.698900408	Cetus	5.78
	185.5288	605.1133129279999	Andromeda	10.66
	124.8439	407.18587048399996	Sculptor	6.38
	210.084	685.20157104	Phoenix	8.8
	609.7561	1988.7561055159997	Cassiopeia	7.79
	57.3723	187.123198788	Pegasus	8.6
	289.8551	945.3797999559999	Sculptor	7.77
	47.7555	155.75742857999998	Phoenix	10.37
	44.484	145.08723504	Phoenix	9.8
	86.2813	281.411636828	Cassiopeia	10.42
	204.499	666.9857584399999	Phoenix	11.63
	413.2231	1347.751934036	Cassiopeia	9.22
	641.0256	2090.743455936	Cetus	4.99
	90.8265	296.23607933999995	Cetus	8.43
	93.8086	305.962377416	Tucana	7.33
	892.8571	2912.1070030759997		8.93
	56.4972	184.26900763199998		9.09
	182.8154	596.263396024	Cepheus	9.26
	229.8851	749.784046756	Tucana	8.73
	833.3333	2717.9665579479997	Cetus	9.18
	265.9574	867.4360175439999	Andromeda	8.12
	337.8378	1101.878254968	Cetus	9.26
	429.1845	1399.81099782	Sculptor	8.94
	386.1004	1259.2896206239998	Andromeda	6.11
	450.4505	1469.1713327799998		9.13
	228.3105	744.6483943799999		7.9
	704.2254	2296.873395624	Pegasus	9.34
	387.5969	1264.170545164	Phoenix	7.13
	100000.0	326156.0	Phoenix	10.82
	228.833	746.35255948	Tucana	7.46
	546.4481	1782.2732650359997	Cetus	8.72
	177.305	578.2908957999999	Andromeda	7.02
	28.9687	94.48315317199999	Andromeda	9.08
	179.2115	584.5090599399999		8.37
	175.4386	572.203520216	Tucana	5.59
	91.659	298.95132804	Pegasus	7.37
	92.6784	302.27616230399997	Cepheus	5.68
	123.0012	401.175793872	Pegasus	8.56
	564.9718	1842.689424008	Cassiopeia	8.72
	184.8429	602.8762089239999	Sculptor	9.06
	213.6752	696.9144853119999		8.82
	137.741	449.25053596000004		8.18
	92.5069	301.71680476399996	Andromeda	9.39
	100000.0	326156.0	Cepheus	9.1
	666.6667	2174.373442052	Andromeda	8.46
	182.4818	595.175339608		9.15
